Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
Singapore,SG,,,,1.35,103.82,0,confirmed,2020-01-22T00:00:00Z
Singapore,SG,,,,1.35,103.82,1,confirmed,2020-01-23T00:00:00Z
Singapore,SG,,,,1.35,103.82,3,confirmed,2020-01-24T00:00:00Z
Singapore,SG,,,,1.35,103.82,3,confirmed,2020-01-25T00:00:00Z
Singapore,SG,,,,1.35,103.82,4,confirmed,2020-01-26T00:00:00Z
Singapore,SG,,,,1.35,103.82,5,confirmed,2020-01-27T00:00:00Z
Singapore,SG,,,,1.35,103.82,7,confirmed,2020-01-28T00:00:00Z
Singapore,SG,,,,1.35,103.82,7,confirmed,2020-01-29T00:00:00Z
Singapore,SG,,,,1.35,103.82,10,confirmed,2020-01-30T00:00:00Z
Singapore,SG,,,,1.35,103.82,13,confirmed,2020-01-31T00:00:00Z
Singapore,SG,,,,1.35,103.82,16,confirmed,2020-02-01T00:00:00Z
Singapore,SG,,,,1.35,103.82,18,confirmed,2020-02-02T00:00:00Z
Singapore,SG,,,,1.35,103.82,18,confirmed,2020-02-03T00:00:00Z
Singapore,SG,,,,1.35,103.82,24,confirmed,2020-02-04T00:00:00Z
Singapore,SG,,,,1.35,103.82,28,confirmed,2020-02-05T00:00:00Z
Singapore,SG,,,,1.35,103.82,28,confirmed,2020-02-06T00:00:00Z
Singapore,SG,,,,1.35,103.82,30,confirmed,2020-02-07T00:00:00Z
Singapore,SG,,,,1.35,103.82,33,confirmed,2020-02-08T00:00:00Z
Singapore,SG,,,,1.35,103.82,40,confirmed,2020-02-09T00:00:00Z
Singapore,SG,,,,1.35,103.82,45,confirmed,2020-02-10T00:00:00Z
Singapore,SG,,,,1.35,103.82,47,confirmed,2020-02-11T00:00:00Z
Singapore,SG,,,,1.35,103.82,50,confirmed,2020-02-12T00:00:00Z
Singapore,SG,,,,1.35,103.82,58,confirmed,2020-02-13T00:00:00Z
Singapore,SG,,,,1.35,103.82,67,confirmed,2020-02-14T00:00:00Z
Singapore,SG,,,,1.35,103.82,72,confirmed,2020-02-15T00:00:00Z
Singapore,SG,,,,1.35,103.82,75,confirmed,2020-02-16T00:00:00Z
Singapore,SG,,,,1.35,103.82,77,confirmed,2020-02-17T00:00:00Z
Singapore,SG,,,,1.35,103.82,81,confirmed,2020-02-18T00:00:00Z
Singapore,SG,,,,1.35,103.82,84,confirmed,2020-02-19T00:00:00Z
Singapore,SG,,,,1.35,103.82,84,confirmed,2020-02-20T00:00:00Z
Singapore,SG,,,,1.35,103.82,85,confirmed,2020-02-21T00:00:00Z
Singapore,SG,,,,1.35,103.82,85,confirmed,2020-02-22T00:00:00Z
Singapore,SG,,,,1.35,103.82,89,confirmed,2020-02-23T00:00:00Z
Singapore,SG,,,,1.35,103.82,89,confirmed,2020-02-24T00:00:00Z
Singapore,SG,,,,1.35,103.82,91,confirmed,2020-02-25T00:00:00Z
Singapore,SG,,,,1.35,103.82,93,confirmed,2020-02-26T00:00:00Z
Singapore,SG,,,,1.35,103.82,93,confirmed,2020-02-27T00:00:00Z
Singapore,SG,,,,1.35,103.82,93,confirmed,2020-02-28T00:00:00Z
Singapore,SG,,,,1.35,103.82,102,confirmed,2020-02-29T00:00:00Z
Singapore,SG,,,,1.35,103.82,106,confirmed,2020-03-01T00:00:00Z
Singapore,SG,,,,1.35,103.82,108,confirmed,2020-03-02T00:00:00Z
Singapore,SG,,,,1.35,103.82,110,confirmed,2020-03-03T00:00:00Z
Singapore,SG,,,,1.35,103.82,110,confirmed,2020-03-04T00:00:00Z
Singapore,SG,,,,1.35,103.82,117,confirmed,2020-03-05T00:00:00Z
Singapore,SG,,,,1.35,103.82,130,confirmed,2020-03-06T00:00:00Z
Singapore,SG,,,,1.35,103.82,138,confirmed,2020-03-07T00:00:00Z
Singapore,SG,,,,1.35,103.82,150,confirmed,2020-03-08T00:00:00Z
Singapore,SG,,,,1.35,103.82,150,confirmed,2020-03-09T00:00:00Z
Singapore,SG,,,,1.35,103.82,160,confirmed,2020-03-10T00:00:00Z
Singapore,SG,,,,1.35,103.82,178,confirmed,2020-03-11T00:00:00Z
Singapore,SG,,,,1.35,103.82,178,confirmed,2020-03-12T00:00:00Z
Singapore,SG,,,,1.35,103.82,200,confirmed,2020-03-13T00:00:00Z
Singapore,SG,,,,1.35,103.82,212,confirmed,2020-03-14T00:00:00Z
Singapore,SG,,,,1.35,103.82,226,confirmed,2020-03-15T00:00:00Z
Singapore,SG,,,,1.35,103.82,243,confirmed,2020-03-16T00:00:00Z
Singapore,SG,,,,1.35,103.82,266,confirmed,2020-03-17T00:00:00Z
Singapore,SG,,,,1.35,103.82,313,confirmed,2020-03-18T00:00:00Z
Singapore,SG,,,,1.35,103.82,345,confirmed,2020-03-19T00:00:00Z
Singapore,SG,,,,1.35,103.82,385,confirmed,2020-03-20T00:00:00Z
Singapore,SG,,,,1.35,103.82,432,confirmed,2020-03-21T00:00:00Z
Singapore,SG,,,,1.35,103.82,455,confirmed,2020-03-22T00:00:00Z
Singapore,SG,,,,1.35,103.82,509,confirmed,2020-03-23T00:00:00Z
